Bid_No,Units,Unit_Price,Total_Price,Win,MSRP,Unit_Cost
1,12,"$16,551","$198,612",1,"$25,000",15000
2,24,"$16,272","$390,523",0,"$25,000",15000
3,16,"$21,266","$340,261",1,"$25,000",15000
4,21,"$18,805","$394,910",0,"$25,000",15000
5,27,"$15,884","$428,864",0,"$25,000",15000
6,13,"$22,168","$288,180",0,"$25,000",15000
7,15,"$15,226","$228,397",1,"$25,000",15000
8,27,"$18,850","$508,961",0,"$25,000",15000
9,29,"$18,755","$543,906",0,"$25,000",15000
10,20,"$22,003","$440,053",0,"$25,000",15000
11,11,"$22,064","$242,705",0,"$25,000",15000
12,21,"$18,016","$378,330",1,"$25,000",15000
13,26,"$15,107","$392,791",0,"$25,000",15000
14,20,"$17,302","$346,042",0,"$25,000",15000
15,14,"$16,008","$224,115",1,"$25,000",15000
16,11,"$15,610","$171,713",1,"$25,000",15000
17,31,"$18,514","$573,924",1,"$25,000",15000
18,17,"$15,362","$261,156",1,"$25,000",15000
19,33,"$19,088","$629,897",0,"$25,000",15000
20,13,"$20,465","$266,041",0,"$25,000",15000
21,35,"$15,488","$542,063",1,"$25,000",15000
22,24,"$15,167","$364,012",1,"$25,000",15000
23,12,"$18,111","$217,332",1,"$25,000",15000
24,20,"$15,207","$304,135",0,"$25,000",15000
25,29,"$16,143","$468,159",1,"$25,000",15000
26,20,"$19,660","$393,199",1,"$25,000",15000
27,26,"$21,565","$560,698",0,"$25,000",15000
28,22,"$18,571","$408,563",0,"$25,000",15000
29,22,"$21,697","$477,326",0,"$25,000",15000
30,17,"$15,503","$263,554",1,"$25,000",15000
31,26,"$21,566","$560,716",0,"$25,000",15000
32,11,"$16,107","$177,175",1,"$25,000",15000
33,14,"$19,766","$276,726",0,"$25,000",15000
34,15,"$21,035","$315,520",0,"$25,000",15000
35,11,"$18,901","$207,915",0,"$25,000",15000
36,37,"$19,377","$716,937",0,"$25,000",15000
37,30,"$20,085","$602,538",0,"$25,000",15000
38,34,"$19,958","$678,577",0,"$25,000",15000
39,16,"$16,375","$261,995",1,"$25,000",15000
40,12,"$20,762","$249,144",0,"$25,000",15000
41,24,"$16,090","$386,165",0,"$25,000",15000
42,12,"$19,039","$228,469",0,"$25,000",15000
43,11,"$21,591","$237,496",0,"$25,000",15000
44,24,"$17,746","$425,908",0,"$25,000",15000
45,16,"$17,846","$285,531",1,"$25,000",15000
46,16,"$22,231","$355,696",0,"$25,000",15000
47,20,"$22,435","$448,701",0,"$25,000",15000
48,22,"$21,569","$474,519",0,"$25,000",15000
49,14,"$22,473","$314,626",0,"$25,000",15000
50,35,"$19,406","$679,214",0,"$25,000",15000
51,31,"$15,833","$490,825",1,"$25,000",15000
52,38,"$16,618","$631,482",1,"$25,000",15000
53,16,"$17,980","$287,684",1,"$25,000",15000
54,13,"$18,889","$245,552",0,"$25,000",15000
55,15,"$21,427","$321,398",0,"$25,000",15000
56,14,"$21,510","$301,139",0,"$25,000",15000
57,17,"$15,937","$270,933",0,"$25,000",15000
58,12,"$15,163","$181,955",1,"$25,000",15000
59,16,"$16,612","$265,787",1,"$25,000",15000
60,17,"$18,653","$317,106",1,"$25,000",15000
61,10,"$17,955","$179,554",0,"$25,000",15000
62,10,"$20,597","$205,971",0,"$25,000",15000
63,20,"$19,767","$395,346",0,"$25,000",15000
64,24,"$21,145","$507,484",0,"$25,000",15000
65,11,"$16,446","$180,904",1,"$25,000",15000
66,12,"$19,119","$229,424",1,"$25,000",15000
67,37,"$21,435","$793,084",0,"$25,000",15000
68,27,"$18,568","$501,329",0,"$25,000",15000
69,22,"$22,189","$488,153",0,"$25,000",15000
70,19,"$15,514","$294,770",1,"$25,000",15000
71,10,"$15,591","$155,915",1,"$25,000",15000
72,12,"$21,864","$262,373",0,"$25,000",15000
73,12,"$18,025","$216,301",0,"$25,000",15000
74,26,"$17,168","$446,360",0,"$25,000",15000
75,29,"$17,664","$512,259",1,"$25,000",15000
76,39,"$16,147","$629,750",0,"$25,000",15000
77,19,"$20,859","$396,325",0,"$25,000",15000
78,13,"$17,194","$223,516",0,"$25,000",15000
79,28,"$17,503","$490,075",1,"$25,000",15000
80,22,"$19,281","$424,182",0,"$25,000",15000
81,12,"$15,068","$180,814",1,"$25,000",15000
82,27,"$19,565","$528,264",0,"$25,000",15000
83,22,"$17,823","$392,116",0,"$25,000",15000
84,19,"$15,502","$294,545",1,"$25,000",15000
85,12,"$20,727","$248,720",0,"$25,000",15000
86,26,"$22,223","$577,806",0,"$25,000",15000
87,29,"$15,910","$461,393",1,"$25,000",15000
88,20,"$20,521","$410,420",0,"$25,000",15000
89,19,"$20,770","$394,621",0,"$25,000",15000
90,44,"$17,146","$754,429",0,"$25,000",15000
91,30,"$20,779","$623,372",0,"$25,000",15000
92,29,"$15,485","$449,064",1,"$25,000",15000
93,14,"$21,092","$295,282",0,"$25,000",15000
94,27,"$17,072","$460,939",1,"$25,000",15000
95,25,"$21,922","$548,045",0,"$25,000",15000
96,11,"$16,617","$182,790",0,"$25,000",15000
97,27,"$17,007","$459,180",0,"$25,000",15000
98,35,"$16,495","$577,317",0,"$25,000",15000
99,20,"$15,280","$305,606",1,"$25,000",15000
100,14,"$20,670","$289,383",0,"$25,000",15000
101,14,"$17,127","$239,782",1,"$25,000",15000
102,17,"$21,969","$373,479",0,"$25,000",15000
103,14,"$20,846","$291,847",0,"$25,000",15000
104,14,"$17,359","$243,020",0,"$25,000",15000
105,14,"$16,158","$226,207",1,"$25,000",15000
106,18,"$15,729","$283,123",1,"$25,000",15000
107,19,"$19,617","$372,717",0,"$25,000",15000
108,16,"$20,870","$333,918",0,"$25,000",15000
109,29,"$21,926","$635,851",0,"$25,000",15000
110,13,"$22,121","$287,575",0,"$25,000",15000
111,11,"$19,281","$212,093",0,"$25,000",15000
112,17,"$15,893","$270,189",1,"$25,000",15000
113,23,"$15,672","$360,447",0,"$25,000",15000
114,15,"$18,050","$270,756",1,"$25,000",15000
115,15,"$20,596","$308,937",0,"$25,000",15000
116,31,"$20,049","$621,508",0,"$25,000",15000
117,17,"$17,653","$300,105",0,"$25,000",15000
118,10,"$15,969","$159,693",1,"$25,000",15000
119,13,"$21,302","$276,929",0,"$25,000",15000
120,14,"$15,058","$210,806",1,"$25,000",15000
121,20,"$21,639","$432,787",0,"$25,000",15000
122,20,"$17,938","$358,769",0,"$25,000",15000
123,13,"$21,925","$285,021",0,"$25,000",15000
124,34,"$18,522","$629,744",0,"$25,000",15000
